City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Amahai,ID,81.63,broken clouds,-3.3333,128.9167,HOTEL ISABELA
6,Weligama,LK,78.46,overcast clouds,5.9667,80.4167,Weligama Bay Resort
8,Butaritari,KI,82.87,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
9,Ailigandi,PA,80.73,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
11,Calabozo,VE,77.04,broken clouds,8.9242,-67.4293,Hotel Giardini
13,The Valley,AI,81.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
14,Isangel,VU,82.51,few clouds,-19.55,169.2667,Tanna Lodge
21,Atuona,PF,79.02,light rain,-9.8,-139.0333,Villa Enata
22,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
23,Avarua,CK,78.85,moderate rain,-21.2078,-159.775,Paradise Inn
24,Atar,MR,89.19,broken clouds,20.5169,-13.0499,Oumou Elghoura
31,Lorengau,PG,85.37,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
44,Jamalpur,BD,83.23,broken clouds,24.9167,89.9333,College hostel
46,Makakilo City,US,82.62,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
50,Belmonte,BR,77.5,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
51,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
52,Omboue,GA,76.24,broken clouds,-1.5746,9.2618,Hotel Olako
59,Tual,ID,81.86,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
63,Shahr-E Babak,IR,75.63,clear sky,30.1165,55.1186,Duna Ecolodge
65,Aswan,EG,80.04,clear sky,24.0934,32.907,Nuba Nile
68,Sao Filipe,CV,75.65,clear sky,14.8961,-24.4956,Hotel Xaguate
69,Danjiangkou,CN,79.75,clear sky,32.5428,111.5086,Dongsheng Guesthouse
70,Pundaguitan,PH,83.25,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
72,Kapaa,US,81.48,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Nisia Floresta,BR,77.38,clear sky,-6.0911,-35.2086,Rancho Crepusculo
74,Ahuimanu,US,83.79,few clouds,21.4447,-157.8378,Paradise Bay Resort
78,Harper,LR,78.91,light rain,4.375,-7.7169,Screensaver
85,Nicoya,CR,85.55,scattered clouds,10.1483,-85.452,Guayacan Real
86,Madison,US,78.22,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
91,Turbat,PK,81.61,clear sky,26.0023,63.044,Mubashar Quarters
97,Kibala,TD,75.81,broken clouds,9.1104,18.3463,hotel safari
105,Sinnamary,GF,77.4,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
108,Thaton,MM,82.85,light rain,16.9206,97.3714,Tain Pyar Guest House
113,Leon Valley,US,80.98,scattered clouds,29.4952,-98.6186,Days Inn by Wyndham San Antonio Northwest/Seaworld
114,Flin Flon,CA,76.55,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
118,Hilo,US,85.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
120,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
130,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
135,Port Moresby,PG,80.02,haze,-9.4431,147.1797,Lamana Hotel
136,Coruripe,BR,75.33,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
137,Vanimo,PG,76.91,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
142,Port Arthur,CN,79.02,clear sky,38.8,121.2667,Friendship Hotel
144,Pacific Grove,US,81.07,scattered clouds,36.6177,-121.9166,Lovers Point Inn
146,Bud,US,79.14,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
147,Martapura,ID,84.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
150,Razole,IN,82.69,scattered clouds,16.4833,81.8333,Sterling Palavelli Godavari
158,Diffa,NE,81.46,overcast clouds,13.3154,12.6113,ProDAF/Diffa
161,Catuday,PH,84.34,broken clouds,16.2923,119.8062,GResort
162,San Patricio,US,82.49,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
165,Yuncheng,CN,82.44,clear sky,35.0231,110.9928,晋州快捷酒店
167,Canora,CA,84.22,clear sky,51.6333,-102.4343,Canora Hotel
