City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Amahai,ID,-3.3333,128.9167,81.63,74,62,2.84,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,74.52,77,43,12.3,light rain
2,Leningradskiy,RU,69.3833,178.4167,34.32,94,26,9.71,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,29.86,93,75,5.75,broken clouds
4,Cidreira,BR,-30.1811,-50.2056,65.35,89,51,9.51,broken clouds
5,Busselton,AU,-33.65,115.3333,56.08,81,98,2.51,overcast clouds
6,Weligama,LK,5.9667,80.4167,78.46,88,100,11.1,overcast clouds
7,Ondjiva,AO,-17.0667,15.7333,49.82,30,0,8.61,clear sky
8,Butaritari,KI,3.0707,172.7902,82.87,68,100,4.68,overcast clouds
9,Ailigandi,PA,9.2333,-78.0167,80.73,88,100,6.69,overcast clouds
10,Codrington,AU,-38.2667,141.9667,52.95,70,100,20.36,overcast clouds
11,Calabozo,VE,8.9242,-67.4293,77.04,85,55,2.66,broken clouds
12,Kuusankoski,FI,60.907,26.6244,54.12,81,44,2.04,scattered clouds
13,The Valley,AI,18.217,-63.0578,81.1,76,100,21.92,overcast clouds
14,Isangel,VU,-19.55,169.2667,82.51,61,20,5.79,few clouds
15,Punta Arenas,CL,-53.15,-70.9167,33.91,100,90,3.6,overcast clouds
16,Bredasdorp,ZA,-34.5322,20.0403,52.29,93,0,4.36,clear sky
17,Abha,SA,18.2164,42.5053,66.02,48,0,1.95,clear sky
18,Brainerd,US,46.358,-94.2008,96.82,19,1,12.66,clear sky
19,Albany,US,42.6001,-73.9662,69.17,85,7,3.91,clear sky
20,Dikson,RU,73.5069,80.5464,29.61,94,100,15.26,light snow
21,Atuona,PF,-9.8,-139.0333,79.02,81,39,18.72,light rain
22,Vaini,TO,-21.2,-175.2,75.36,73,40,2.3,scattered clouds
23,Avarua,CK,-21.2078,-159.775,78.85,69,75,11.5,moderate rain
24,Atar,MR,20.5169,-13.0499,89.19,24,62,14.58,broken clouds
25,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,87,90,13.8,overcast clouds
26,Provideniya,RU,64.3833,-173.3,39.72,62,71,8.01,broken clouds
27,Pevek,RU,69.7008,170.3133,38.41,97,100,10.94,moderate rain
28,Fortuna,US,40.5982,-124.1573,63.93,69,20,1.99,few clouds
29,Varadia,RO,45.0783,21.5469,50.92,76,0,2.55,clear sky
30,Gasa,PS,31.5,34.4667,67.98,66,0,4.7,clear sky
31,Lorengau,PG,-2.0226,147.2712,85.37,70,32,7.65,scattered clouds
32,Willowmore,ZA,-33.2926,23.4895,44.29,41,0,4.03,clear sky
33,Kedrovyy,RU,56.1667,91.8167,45.01,97,100,11.21,moderate rain
34,Qaanaaq,GL,77.484,-69.3632,31.57,81,100,4.52,overcast clouds
35,Thinadhoo,MV,0.5333,72.9333,82.4,76,100,18.07,overcast clouds
36,Saldanha,ZA,-33.0117,17.9442,44.65,53,15,6.04,few clouds
37,Lithakia,GR,37.7167,20.8333,69.06,73,0,6.08,clear sky
38,Wonthaggi,AU,-38.6044,145.5913,51.71,61,100,18.68,overcast clouds
39,Puerto Ayora,EC,-0.7393,-90.3518,73.54,87,100,4.0,overcast clouds
40,Mataura,NZ,-46.1927,168.8643,54.01,70,100,5.48,overcast clouds
41,New Norfolk,AU,-42.7826,147.0587,52.88,60,100,5.99,overcast clouds
42,Almaznyy,RU,48.0448,40.045,53.74,90,100,4.74,overcast clouds
43,Walvis Bay,NA,-22.9575,14.5053,72.55,21,0,13.04,clear sky
44,Jamalpur,BD,24.9167,89.9333,83.23,84,55,8.23,broken clouds
45,Iqaluit,CA,63.7506,-68.5145,35.33,74,90,18.01,overcast clouds
46,Makakilo City,US,21.3469,-158.0858,82.62,61,50,17.31,scattered clouds
47,Berlevag,NO,70.8578,29.0864,45.34,89,100,15.77,light rain
