City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,49.08,82,14,6.82,AU,2021-06-03 22:59:28
1,Byron Bay,-28.65,153.6167,65.05,66,0,10.63,AU,2021-06-03 22:58:36
2,Waipawa,-41.4122,175.5153,56.03,72,59,5.48,NZ,2021-06-03 22:59:29
3,Libreville,0.3925,9.4537,80.62,89,20,9.22,GA,2021-06-03 22:59:29
4,Son La,21.3167,103.9,71.96,94,100,1.97,VN,2021-06-03 22:59:29
5,Ushuaia,-54.8,-68.3,26.26,93,0,5.75,AR,2021-06-03 22:54:36
6,Hithadhoo,-0.6,73.0833,83.55,70,100,18.19,MV,2021-06-03 22:59:30
7,Saskylakh,71.9167,114.0833,34.27,98,100,10.47,RU,2021-06-03 22:59:30
8,Butaritari,3.0707,172.7902,83.17,75,93,10.83,KI,2021-06-03 22:59:30
9,Albany,42.6001,-73.9662,71.1,81,97,8.72,US,2021-06-03 22:55:31
10,Hammerfest,70.6634,23.6821,52.25,66,0,4.61,NO,2021-06-03 22:56:43
11,Vaini,-21.2,-175.2,77.16,78,20,4.61,TO,2021-06-03 22:59:31
12,Wilhelmsburg,48.1057,15.6054,60.46,89,6,2.06,AT,2021-06-03 22:59:31
13,North Bend,43.4065,-124.2243,72.99,82,58,1.01,US,2021-06-03 22:59:31
14,Khromtau,50.2503,58.4347,59.13,83,97,14.03,KZ,2021-06-03 22:59:32
15,Huambo,-12.7761,15.7392,53.83,48,18,1.92,AO,2021-06-03 22:59:32
16,Upernavik,72.7868,-56.1549,34.47,69,10,2.77,GL,2021-06-03 22:59:32
17,Longyearbyen,78.2186,15.6401,35.44,75,75,12.66,SJ,2021-06-03 22:59:32
18,Mataura,-46.1927,168.8643,49.48,86,92,4.0,NZ,2021-06-03 22:59:33
19,Constitucion,-35.3333,-72.4167,57.72,91,100,7.34,CL,2021-06-03 22:59:33
20,Nsanje,-16.92,35.262,67.35,89,93,3.27,MW,2021-06-03 22:59:33
21,Hermanus,-34.4187,19.2345,54.9,74,100,7.0,ZA,2021-06-03 22:59:34
22,Touros,-5.1989,-35.4608,76.1,76,17,11.81,BR,2021-06-03 22:59:34
23,Hobart,-42.8794,147.3294,48.06,66,75,4.0,AU,2021-06-03 22:57:23
24,Narsaq,60.9167,-46.05,41.2,73,66,3.51,GL,2021-06-03 22:59:34
25,Okhotsk,59.3833,143.3,43.9,79,2,4.34,RU,2021-06-03 22:59:35
26,Viedma,-40.8135,-62.9967,62.73,59,100,17.11,AR,2021-06-03 22:59:35
27,Bethel,41.3712,-73.414,71.73,86,100,5.55,US,2021-06-03 22:59:35
28,Punta Arenas,-53.15,-70.9167,35.71,93,90,11.21,CL,2021-06-03 22:56:28
29,Hasaki,35.7333,140.8333,70.2,82,96,26.28,JP,2021-06-03 22:59:36
30,Dikson,73.5069,80.5464,30.74,98,98,12.91,RU,2021-06-03 22:59:36
31,Sakakah,29.9697,40.2064,85.57,19,0,4.21,SA,2021-06-03 22:59:36
32,Kruisfontein,-34.0033,24.7314,48.15,71,18,6.17,ZA,2021-06-03 22:59:36
33,Willmar,45.1219,-95.0433,93.15,14,1,11.5,US,2021-06-03 22:59:37
34,Itoman,26.1247,127.6694,84.58,94,75,14.97,JP,2021-06-03 22:59:37
35,Lebu,-37.6167,-73.65,56.23,97,100,3.58,CL,2021-06-03 22:59:37
36,Tuktoyaktuk,69.4541,-133.0374,44.6,70,75,14.97,CA,2021-06-03 22:59:38
37,Saint-Pierre,-21.3393,55.4781,73.04,64,20,6.91,RE,2021-06-03 22:59:38
38,New Norfolk,-42.7826,147.0587,47.71,49,76,6.58,AU,2021-06-03 22:59:38
39,Talnakh,69.4865,88.3972,32.88,99,100,4.9,RU,2021-06-03 22:59:39
40,Cacu,-18.5567,-51.1308,76.46,38,67,3.33,BR,2021-06-03 22:59:39
41,Ribeira Grande,38.5167,-28.7,62.46,68,39,9.66,PT,2021-06-03 22:59:39
42,Aklavik,68.2191,-135.0107,49.03,71,75,9.22,CA,2021-06-03 22:59:39
43,Castro,-24.7911,-50.0119,60.73,87,45,2.13,BR,2021-06-03 22:59:40
44,Nikolskoye,59.7035,30.7861,57.09,84,20,4.18,RU,2021-06-03 22:59:40
45,San Jeronimo,-11.9472,-75.2829,52.68,72,77,5.88,PE,2021-06-03 22:59:40
46,Coihaique,-45.5752,-72.0662,43.41,87,75,5.75,CL,2021-06-03 22:59:40
47,Atuona,-9.8,-139.0333,79.18,82,44,18.1,PF,2021-06-03 22:59:41
48,Avarua,-21.2078,-159.775,78.85,73,20,12.66,CK,2021-06-03 22:59:41
49,Vizinga,61.0749,50.1031,44.73,75,2,1.92,RU,2021-06-03 22:59:41
50,Westport,41.1415,-73.3579,73.06,92,75,1.01,US,2021-06-03 22:59:37
51,Cherskiy,68.75,161.3,67.48,26,61,8.05,RU,2021-06-03 22:59:42
52,Saurimo,-9.6608,20.3916,63.01,50,31,5.19,AO,2021-06-03 22:59:42
53,Kununurra,-15.7667,128.7333,75.18,53,90,5.75,AU,2021-06-03 22:59:42
54,Kapaa,22.0752,-159.319,82.38,82,19,3.0,US,2021-06-03 22:59:43
55,Kargasok,59.0556,80.8572,46.83,57,100,0.4,RU,2021-06-03 22:59:43
56,Mokhotlong,-29.2894,29.0675,20.16,77,40,3.85,LS,2021-06-03 22:59:43
57,Puerto Ayora,-0.7393,-90.3518,78.76,86,38,8.01,EC,2021-06-03 22:59:43
58,Severo-Kurilsk,50.6789,156.125,45.77,74,61,7.34,RU,2021-06-03 22:59:44
59,Ponta Do Sol,32.6667,-17.1,65.03,54,49,8.05,PT,2021-06-03 22:59:44
60,Salalah,17.0151,54.0924,78.46,79,70,0.65,OM,2021-06-03 22:59:44
61,Tasiilaq,65.6145,-37.6368,36.84,76,83,5.48,GL,2021-06-03 22:59:45
